Script Name,Area,Type,Script Content,Effectiveness Score,Usage Count,Notes
Punggol Opening - Opportunity,Punggol,Opening,"Hi! I'm [Name] from [Agency]. I'm working with several families in Punggol who are upgrading to condos, and I'm seeing some really exciting opportunities in the area right now. Do you have a quick moment to chat about what's happening with property values here?",9/10,25,"High energy, mentions social proof (several families), curiosity hook"
Punggol Hook - MOP Completed,Punggol,Hook,"Your block just completed MOP recently right? I've seen similar units sell 15% higher than 2 years ago. With the new amenities coming to Punggol, this might be the perfect timing to explore your options.",9/10,18,"Data-driven, creates urgency, specific to Punggol"
Punggol Close - Viewing Commitment,Punggol,Close,"I'd love to show you what your neighbours are achieving. Can we schedule a quick 20-minute chat at the sales gallery this Saturday? I'll bring recent comparable sales specifically for your block.",8/10,15,"Low pressure, specific time, value offer"
Serangoon Opening - Advisory,Serangoon,Opening,"Good evening. I'm [Name], a property consultant specializing in mature estates like Serangoon. I've been analyzing market trends here and noticed some interesting patterns that might affect homeowners. Would you be open to a brief conversation?",8/10,20,"Calm, professional, positions as advisor not salesperson"
Serangoon Hook - Value Preservation,Serangoon,Hook,"Serangoon has always been a stable estate, but with the Cross Island Line coming and several en-bloc opportunities nearby, we're seeing a shift. Many long-time owners are reviewing their portfolios. Have you considered how these changes might affect your property value?",9/10,16,"Mentions infrastructure, en-bloc, triggers FOMO subtly"
Serangoon Close - Report Offer,Serangoon,Close,"I'd be happy to prepare a personalized market report for your specific unit type. No obligation - just information to help you make informed decisions. Can I email that to you along with my contact details?",8/10,14,"Low pressure, positions as service, captures contact"
Objection - Not Interested,Both,Objection,"I completely understand. Most homeowners weren't looking to sell until they saw the current market data. Would it be alright if I left you with a recent market report for this area? It shows what similar units sold for recently - takes just 2 minutes to glance through.",8/10,22,"Acknowledges, reframes, offers low-commitment value"
Objection - No Time,Both,Objection,"Of course, evenings are precious. I just need 30 seconds - would a brief market update be helpful for your weekend reading? I can WhatsApp it to you, and if you have questions later, I'm available.",7/10,19,"Respects time, offers async option, captures contact"
Objection - Already Have Agent,Both,Objection,"That's great that you have representation. Many homeowners work with multiple agents to ensure they see all opportunities. Would you like a second opinion on current market conditions? No obligation - just another perspective.",6/10,17,"Delicate, positions as second opinion not replacement"
Objection - Silent/No Response,Both,Objection,"[Pause 3 seconds] I know this might seem unexpected. I'm not here to pressure you - just sharing information. If now isn't a good time, I can leave my card and some market data. What's best for you?",7/10,15,"Gives control back, respectful, still captures contact"
Objection - Thinking About It,Both,Objection,"That makes sense - it's a big decision. May I ask what's the main thing you're considering? Sometimes I can provide specific information that helps with that exact concern.",8/10,13,"Probes gently, positions as resource"
